,id,deviceid,speed,lead_speed,servertime,attributes
0,35327935,198,0.0,0.0,2018-04-01 14:00:05,"{""event"":35,""sat"":10,""hdop"":0.8,""odometer"":43250034,""runtime"":""76347016"",""status"":""0000"",""adc1"":33,""adc2"":0,""adc3"":0,""battery"":2662,""power"":973,""distance"":0.0,""totalDistance"":9655096.05,""ip"":""103.228.156.86"",""motion"":false,""ignition"":false}"
1,35327937,193,0.0,0.0,2018-04-01 14:00:06,"{""event"":35,""sat"":11,""hdop"":0.7,""odometer"":58087961,""runtime"":""69393209"",""status"":""0000"",""adc1"":13,""adc2"":0,""adc3"":0,""battery"":2641,""power"":965,""distance"":0.0,""totalDistance"":1.928164892E7,""ip"":""43.245.8.15"",""motion"":false,""ignition"":false}"
2,35327943,191,0.0,0.0,2018-04-01 14:00:09,"{""event"":35,""sat"":11,""hdop"":0.7,""odometer"":26517415,""runtime"":""39377285"",""status"":""0000"",""adc1"":18,""adc2"":0,""adc3"":0,""battery"":2654,""power"":959,""distance"":0.0,""totalDistance"":1.111186483E7,""ip"":""43.245.8.23"",""motion"":false,""ignition"":false}"
3,35327948,199,0.0,0.0,2018-04-01 14:00:10,"{""event"":35,""sat"":10,""hdop"":0.7,""odometer"":23974778,""runtime"":""67704841"",""status"":""0000"",""adc1"":8,""adc2"":0,""adc3"":0,""battery"":2646,""power"":905,""distance"":0.0,""totalDistance"":1254375.52,""ip"":""103.228.156.52"",""motion"":false,""ignition"":false}"
4,35327949,53,0.0,0.0,2018-04-01 14:00:10,"{""event"":35,""sat"":11,""hdop"":0.7,""odometer"":9374512,""runtime"":""16404942"",""status"":""0000"",""adc1"":24,""adc2"":21,""adc3"":0,""battery"":2604,""power"":982,""eventData"":""00000001"",""fuel"":0.0,""distance"":3.43,""totalDistance"":9885458.97,""ip"":""119.160.65.150"",""motion"":false,""ignition"":false}"
5,35327950,73,0.0,0.0,2018-04-01 14:00:10,"{""power"":24.54,""distance"":0.0,""totalDistance"":1.851736511E7,""ip"":""119.160.65.70"",""motion"":false,""ignition"":false}"
6,35327953,8,0.0,0.0,2018-04-01 14:00:13,"{""event"":35,""sat"":9,""hdop"":0.9,""odometer"":37678445,""runtime"":""47567308"",""status"":""0200"",""adc1"":13,""adc2"":13,""adc3"":0,""battery"":2636,""power"":957,""eventData"":""00000001"",""fuel"":0.0,""distance"":0.72,""totalDistance"":1.915928463E7,""ip"":""43.245.8.32"",""motion"":false,""ignition"":false}"
7,35327954,35,0.0,0.0,2018-04-01 14:00:13,"{""power"":12.23,""distance"":0.0,""totalDistance"":3.096609154E7,""ip"":""43.245.8.110"",""motion"":false,""ignition"":false}"
8,35327957,11,0.0,0.0,2018-04-01 14:00:15,"{""event"":35,""sat"":10,""hdop"":0.8,""odometer"":123262168,""runtime"":""61999523"",""status"":""0200"",""adc1"":0,""adc2"":752,""adc3"":0,""battery"":2608,""power"":955,""eventData"":""00000001"",""fuel"":24.23,""distance"":4.8,""totalDistance"":3.618456438E7,""ip"":""43.245.8.22"",""motion"":false,""ignition"":false}"
9,35327958,62,0.0,0.0,2018-04-01 14:00:15,"{""power"":12.89,""distance"":0.0,""totalDistance"":3.33240307E7,""ip"":""43.245.8.53"",""motion"":false,""ignition"":true}"
